STATIONS_ID;MESS_DATUM;QN_4;N_TER;CD_TER;eor
       1443;2007062112;    3;-999;-999;eor
       1443;2007062118;    3;-999;-999;eor
       1443;2007062206;    3;-999;-999;eor
       1443;2007062212;    3;-999;-999;eor
       1443;2007062218;    3;-999;-999;eor
       1443;2007062306;    3;-999;-999;eor
       1443;2007062312;    3;-999;-999;eor
       1443;2007062318;    3;-999;-999;eor
       1443;2007062406;    3;-999;-999;eor
       1443;2007062412;    3;-999;-999;eor
       1443;2007062418;    3;-999;-999;eor
       1443;2007062506;    3;-999;-999;eor
       1443;2007062512;    3;-999;-999;eor
       1443;2007062518;    3;-999;-999;eor
       1443;2007062606;    3;-999;-999;eor
       1443;2007062612;    3;-999;-999;eor
       1443;2007062618;    3;-999;-999;eor
       1443;2007062706;    3;-999;-999;eor
       1443;2007062712;    3;-999;-999;eor
       1443;2007062718;    3;-999;-999;eor
       1443;2007062806;    3;-999;-999;eor
       1443;2007062812;    3;-999;-999;eor
       1443;2007062818;    3;-999;-999;eor
       1443;2007062906;    3;-999;-999;eor
       1443;2007062912;    3;-999;-999;eor
       1443;2007062918;    3;-999;-999;eor
       1443;2007063006;    3;-999;-999;eor
       1443;2007063012;    3;-999;-999;eor
       1443;2007063018;    3;-999;-999;eor
       1443;2007070106;    3;-999;-999;eor
       1443;2007070112;    3;-999;-999;eor
       1443;2007070118;    3;-999;-999;eor
       1443;2007070206;    3;-999;-999;eor
       1443;2007070212;    3;-999;-999;eor
       1443;2007070218;    3;-999;-999;eor
       1443;2007070306;    3;-999;-999;eor
       1443;2007070312;    3;-999;-999;eor
       1443;2007070318;    3;-999;-999;eor
       1443;2007070406;    3;-999;-999;eor
       1443;2007070412;    3;-999;-999;eor
       1443;2007070418;    3;-999;-999;eor
       1443;2007070506;    3;-999;-999;eor
       1443;2007070512;    3;-999;-999;eor
       1443;2007070518;    3;-999;-999;eor
       1443;2007070606;    3;-999;-999;eor
       1443;2007070612;    3;-999;-999;eor
       1443;2007070618;    3;-999;-999;eor
       1443;2007070706;    3;-999;-999;eor
       1443;2007070712;    3;-999;-999;eor
       1443;2007070718;    3;-999;-999;eor
       1443;2007070806;    3;-999;-999;eor
       1443;2007070812;    3;-999;-999;eor
       1443;2007070818;    3;-999;-999;eor
       1443;2007070906;    3;-999;-999;eor
       1443;2007070912;    3;-999;-999;eor
