Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Sep 22, 2015;Sep 23, 2015;184,388.75;174,044.00;8,131.50
Sep 23, 2015;Sep 24, 2015;185,643.75;175,588.00;10,569.25
Sep 24, 2015;Sep 25, 2015;183,354.75;166,378.75;10,652.00
Sep 25, 2015;Sep 26, 2015;177,149.75;161,600.25;5,912.00
Sep 26, 2015;Sep 27, 2015;139,880.25;122,675.50;8,600.50
Sep 27, 2015;Sep 28, 2015;123,700.75;98,562.25;11,859.00
Sep 28, 2015;Sep 29, 2015;175,658.00;149,907.25;10,512.75
Sep 29, 2015;Sep 30, 2015;181,532.50;148,561.50;10,254.25
Sep 30, 2015;Oct 1, 2015;182,167.50;149,801.25;8,860.75
Oct 1, 2015;Oct 2, 2015;180,487.75;149,614.75;9,842.25
Oct 2, 2015;Oct 3, 2015;177,077.25;150,061.00;9,232.25
Oct 3, 2015;Oct 4, 2015;126,705.25;105,917.25;6,711.25
Oct 4, 2015;Oct 5, 2015;122,205.00;113,459.75;9,889.25
Oct 5, 2015;Oct 6, 2015;178,391.75;163,518.00;7,998.75
Oct 6, 2015;Oct 7, 2015;186,526.75;174,913.25;8,710.00
Oct 7, 2015;Oct 8, 2015;184,797.25;173,358.50;9,718.25
Oct 8, 2015;Oct 9, 2015;182,565.25;170,620.00;8,967.50
Oct 9, 2015;Oct 10, 2015;179,216.00;166,991.50;8,762.50
Oct 10, 2015;Oct 11, 2015;144,158.50;136,077.50;7,702.25
Oct 11, 2015;Oct 12, 2015;127,614.25;112,311.50;14,566.50
Oct 12, 2015;Oct 13, 2015;183,490.25;163,887.25;11,190.50
Oct 13, 2015;Oct 14, 2015;190,574.25;182,130.50;6,829.50
Oct 14, 2015;Oct 15, 2015;192,116.00;186,411.50;9,292.25
Oct 15, 2015;Oct 16, 2015;191,369.50;188,273.00;10,065.00
Oct 16, 2015;Oct 17, 2015;188,914.00;185,417.00;9,385.00
Oct 17, 2015;Oct 18, 2015;150,631.75;145,406.75;7,682.00
Oct 18, 2015;Oct 19, 2015;133,048.00;128,229.75;8,752.00
Oct 19, 2015;Oct 20, 2015;185,710.50;176,663.75;9,570.00
Oct 20, 2015;Oct 21, 2015;193,451.50;185,161.00;9,397.75
Oct 21, 2015;Oct 22, 2015;194,777.00;186,039.50;8,220.25
Oct 22, 2015;Oct 23, 2015;192,292.75;183,292.00;8,080.75
Oct 23, 2015;Oct 24, 2015;189,775.50;182,881.00;7,337.75
Oct 24, 2015;Oct 25, 2015;149,877.75;134,728.25;10,735.25
Oct 25, 2015;Oct 26, 2015;138,080.50;130,158.50;10,025.50
Oct 26, 2015;Oct 27, 2015;189,537.00;176,580.75;9,963.25
Oct 27, 2015;Oct 28, 2015;198,254.75;190,649.75;8,047.50
Oct 28, 2015;Oct 29, 2015;196,913.50;189,049.75;9,569.00
Oct 29, 2015;Oct 30, 2015;193,807.50;189,329.50;7,732.00
Oct 30, 2015;Oct 31, 2015;191,293.00;184,453.50;10,597.75
Oct 31, 2015;Nov 1, 2015;152,573.25;143,483.25;9,711.50
Nov 1, 2015;Nov 2, 2015;135,012.50;124,187.50;10,736.00
Nov 2, 2015;Nov 3, 2015;189,768.00;177,612.50;6,178.50
Nov 3, 2015;Nov 4, 2015;197,729.25;187,670.25;9,691.50
Nov 4, 2015;Nov 5, 2015;192,750.75;180,093.50;9,816.50
Nov 5, 2015;Nov 6, 2015;190,919.00;176,668.25;10,579.00
Nov 6, 2015;Nov 7, 2015;185,713.75;175,196.25;9,225.75
Nov 7, 2015;Nov 8, 2015;148,504.75;138,745.25;11,471.25
Nov 8, 2015;Nov 9, 2015;131,292.25;117,224.75;12,019.75
Nov 9, 2015;Nov 10, 2015;187,327.25;172,676.00;11,339.00
Nov 10, 2015;Nov 11, 2015;192,984.00;176,241.25;10,068.50
Nov 11, 2015;Nov 12, 2015;191,562.50;177,249.25;12,756.75
Nov 12, 2015;Nov 13, 2015;191,295.75;179,605.25;11,709.00
Nov 13, 2015;Nov 14, 2015;189,628.75;176,952.25;10,706.75
Nov 14, 2015;Nov 15, 2015;151,065.50;134,665.00;11,784.00
Nov 15, 2015;Nov 16, 2015;134,482.00;115,362.50;13,398.00
Nov 16, 2015;Nov 17, 2015;188,502.75;169,458.75;12,538.75
Nov 17, 2015;Nov 18, 2015;195,252.25;182,718.00;10,274.75
Nov 18, 2015;Nov 19, 2015;192,446.00;171,313.50;12,497.50
Nov 19, 2015;Nov 20, 2015;191,469.00;172,839.25;10,289.50
Nov 20, 2015;Nov 21, 2015;191,863.50;186,146.50;9,614.75
Nov 21, 2015;Nov 22, 2015;154,374.50;146,398.00;16,775.25
Nov 22, 2015;Nov 23, 2015;141,280.25;134,968.25;12,437.25
Nov 23, 2015;Nov 24, 2015;196,754.25;191,803.75;10,288.00
Nov 24, 2015;Nov 25, 2015;204,933.75;195,762.00;12,416.50
Nov 25, 2015;Nov 26, 2015;204,373.50;199,818.00;10,686.00
Nov 26, 2015;Nov 27, 2015;202,429.00;199,895.50;10,961.50
Nov 27, 2015;Nov 28, 2015;199,890.00;194,927.25;10,090.50
Nov 28, 2015;Nov 29, 2015;164,422.25;158,171.75;10,617.25
Nov 29, 2015;Nov 30, 2015;146,407.00;133,688.25;10,572.25
Nov 30, 2015;Dec 1, 2015;195,657.50;181,621.00;11,801.25
Dec 1, 2015;Dec 2, 2015;201,376.25;188,770.50;14,585.75
Dec 2, 2015;Dec 3, 2015;199,749.00;194,781.75;12,421.25
Dec 3, 2015;Dec 4, 2015;199,642.75;193,083.75;13,246.75
Dec 4, 2015;Dec 5, 2015;197,660.50;191,095.75;11,783.50
Dec 5, 2015;Dec 6, 2015;156,049.75;145,870.25;17,636.00
Dec 6, 2015;Dec 7, 2015;139,051.00;124,176.25;11,901.75
Dec 7, 2015;Dec 8, 2015;193,122.25;181,607.25;9,814.00
Dec 8, 2015;Dec 9, 2015;203,346.00;194,309.75;11,064.50
Dec 9, 2015;Dec 10, 2015;202,288.50;195,930.00;13,012.25
Dec 10, 2015;Dec 11, 2015;205,715.25;195,355.75;11,302.75
Dec 11, 2015;Dec 12, 2015;196,843.75;183,115.75;10,849.50
Dec 12, 2015;Dec 13, 2015;155,037.25;144,797.25;10,040.50
Dec 13, 2015;Dec 14, 2015;140,968.75;131,247.75;13,816.50
Dec 14, 2015;Dec 15, 2015;195,898.75;186,028.00;8,775.50
Dec 15, 2015;Dec 16, 2015;199,722.50;193,690.75;8,454.00
Dec 16, 2015;Dec 17, 2015;198,936.50;194,467.25;9,108.75
Dec 17, 2015;Dec 18, 2015;188,094.50;181,039.50;8,890.50
Dec 18, 2015;Dec 19, 2015;180,145.00;173,299.00;11,285.00
Dec 19, 2015;Dec 20, 2015;145,892.75;137,770.75;8,919.25
Dec 20, 2015;Dec 21, 2015;131,488.50;120,448.00;10,118.75
Dec 21, 2015;Dec 22, 2015;169,571.25;159,647.50;14,817.00
Dec 22, 2015;Dec 23, 2015;164,029.25;148,713.25;11,338.75
Dec 23, 2015;Dec 24, 2015;153,212.50;143,819.75;11,642.25
Dec 24, 2015;Dec 25, 2015;122,308.50;112,753.00;17,350.25
Dec 25, 2015;Dec 26, 2015;108,685.00;95,827.50;11,319.25
Dec 26, 2015;Dec 27, 2015;111,908.00;98,903.00;10,571.25
Dec 27, 2015;Dec 28, 2015;114,954.00;103,084.25;6,567.00
Dec 28, 2015;Dec 29, 2015;140,039.50;127,915.50;10,173.25
