Beginn-UTC,Ende-UTC,Beginn-Lokalzeit,Ende-Lokalzeit,Globalstrahlung (W/m²)
2018-11-17 00:00:00,2018-11-18 00:00:00,2018-11-17 01:00:00,2018-11-18 01:00:00,75.67905
2018-11-18 00:00:00,2018-11-19 00:00:00,2018-11-18 01:00:00,2018-11-19 01:00:00,86.9777
2018-11-19 00:00:00,2018-11-20 00:00:00,2018-11-19 01:00:00,2018-11-20 01:00:00,44.73271
2018-11-20 00:00:00,2018-11-21 00:00:00,2018-11-20 01:00:00,2018-11-21 01:00:00,69.60915
2018-11-21 00:00:00,2018-11-22 00:00:00,2018-11-21 01:00:00,2018-11-22 01:00:00,2.964974
2018-11-22 00:00:00,2018-11-23 00:00:00,2018-11-22 01:00:00,2018-11-23 01:00:00,79.31766
2018-11-23 00:00:00,2018-11-24 00:00:00,2018-11-23 01:00:00,2018-11-24 01:00:00,39.87166
2018-11-24 00:00:00,2018-11-25 00:00:00,2018-11-24 01:00:00,2018-11-25 01:00:00,60.29902
2018-11-25 00:00:00,2018-11-26 00:00:00,2018-11-25 01:00:00,2018-11-26 01:00:00,73.9112
2018-11-26 00:00:00,2018-11-27 00:00:00,2018-11-26 01:00:00,2018-11-27 01:00:00,14.26133
2018-11-27 00:00:00,2018-11-28 00:00:00,2018-11-27 01:00:00,2018-11-28 01:00:00,9.390341
2018-11-28 00:00:00,2018-11-29 00:00:00,2018-11-28 01:00:00,2018-11-29 01:00:00,37.38163
2018-11-29 00:00:00,2018-11-30 00:00:00,2018-11-29 01:00:00,2018-11-30 01:00:00,31.47166
2018-11-30 00:00:00,2018-12-01 00:00:00,2018-11-30 01:00:00,2018-12-01 01:00:00,14.46954
2018-12-01 00:00:00,2018-12-02 00:00:00,2018-12-01 01:00:00,2018-12-02 01:00:00,53.56505
2018-12-02 00:00:00,2018-12-03 00:00:00,2018-12-02 01:00:00,2018-12-03 01:00:00,10.64195
2018-12-03 00:00:00,2018-12-04 00:00:00,2018-12-03 01:00:00,2018-12-04 01:00:00,15.19592
2018-12-04 00:00:00,2018-12-05 00:00:00,2018-12-04 01:00:00,2018-12-05 01:00:00,19.88997
2018-12-05 00:00:00,2018-12-06 00:00:00,2018-12-05 01:00:00,2018-12-06 01:00:00,35.73524
2018-12-06 00:00:00,2018-12-07 00:00:00,2018-12-06 01:00:00,2018-12-07 01:00:00,37.50884
2018-12-07 00:00:00,2018-12-08 00:00:00,2018-12-07 01:00:00,2018-12-08 01:00:00,21.85992
2018-12-08 00:00:00,2018-12-09 00:00:00,2018-12-08 01:00:00,2018-12-09 01:00:00,26.90562
2018-12-09 00:00:00,2018-12-10 00:00:00,2018-12-09 01:00:00,2018-12-10 01:00:00,11.42822
2018-12-10 00:00:00,2018-12-11 00:00:00,2018-12-10 01:00:00,2018-12-11 01:00:00,35.15188
2018-12-11 00:00:00,2018-12-12 00:00:00,2018-12-11 01:00:00,2018-12-12 01:00:00,68.22386
2018-12-12 00:00:00,2018-12-13 00:00:00,2018-12-12 01:00:00,2018-12-13 01:00:00,62.46218
2018-12-13 00:00:00,2018-12-14 00:00:00,2018-12-13 01:00:00,2018-12-14 01:00:00,25.31269
2018-12-14 00:00:00,2018-12-15 00:00:00,2018-12-14 01:00:00,2018-12-15 01:00:00,50.93119
2018-12-15 00:00:00,2018-12-16 00:00:00,2018-12-15 01:00:00,2018-12-16 01:00:00,52.30145
2018-12-16 00:00:00,2018-12-17 00:00:00,2018-12-16 01:00:00,2018-12-17 01:00:00,48.0848
2018-12-17 00:00:00,2018-12-18 00:00:00,2018-12-17 01:00:00,2018-12-18 01:00:00,25.22129
2018-12-18 00:00:00,2018-12-19 00:00:00,2018-12-18 01:00:00,2018-12-19 01:00:00,63.41038
2018-12-19 00:00:00,2018-12-20 00:00:00,2018-12-19 01:00:00,2018-12-20 01:00:00,9.390238
2018-12-20 00:00:00,2018-12-21 00:00:00,2018-12-20 01:00:00,2018-12-21 01:00:00,30.49705
2018-12-21 00:00:00,2018-12-22 00:00:00,2018-12-21 01:00:00,2018-12-22 01:00:00,4.331985
2018-12-22 00:00:00,2018-12-23 00:00:00,2018-12-22 01:00:00,2018-12-23 01:00:00,15.50264
2018-12-23 00:00:00,2018-12-24 00:00:00,2018-12-23 01:00:00,2018-12-24 01:00:00,8.023453
2018-12-24 00:00:00,2018-12-25 00:00:00,2018-12-24 01:00:00,2018-12-25 01:00:00,23.38188
2018-12-25 00:00:00,2018-12-26 00:00:00,2018-12-25 01:00:00,2018-12-26 01:00:00,23.66281
2018-12-26 00:00:00,2018-12-27 00:00:00,2018-12-26 01:00:00,2018-12-27 01:00:00,28.65243
2018-12-27 00:00:00,2018-12-28 00:00:00,2018-12-27 01:00:00,2018-12-28 01:00:00,46.52478
2018-12-28 00:00:00,2018-12-29 00:00:00,2018-12-28 01:00:00,2018-12-29 01:00:00,22.96875
2018-12-29 00:00:00,2018-12-30 00:00:00,2018-12-29 01:00:00,2018-12-30 01:00:00,19.61012
2018-12-30 00:00:00,2018-12-31 00:00:00,2018-12-30 01:00:00,2018-12-31 01:00:00,18.50016
2018-12-31 00:00:00,2019-01-01 00:00:00,2018-12-31 01:00:00,2019-01-01 01:00:00,19.34992
2019-01-01 00:00:00,2019-01-02 00:00:00,2019-01-01 01:00:00,2019-01-02 01:00:00,10.16472
2019-01-02 00:00:00,2019-01-03 00:00:00,2019-01-02 01:00:00,2019-01-03 01:00:00,30.4054
2019-01-03 00:00:00,2019-01-04 00:00:00,2019-01-03 01:00:00,2019-01-04 01:00:00,45.81072
2019-01-07 00:00:00,2019-01-08 00:00:00,2019-01-07 01:00:00,2019-01-08 01:00:00,14.0518
2019-01-08 00:00:00,2019-01-09 00:00:00,2019-01-08 01:00:00,2019-01-09 01:00:00,22.22679
2019-01-09 00:00:00,2019-01-10 00:00:00,2019-01-09 01:00:00,2019-01-10 01:00:00,17.4518
2019-01-10 00:00:00,2019-01-11 00:00:00,2019-01-10 01:00:00,2019-01-11 01:00:00,7.023939
2019-01-11 00:00:00,2019-01-12 00:00:00,2019-01-11 01:00:00,2019-01-12 01:00:00,21.83008
2019-01-12 00:00:00,2019-01-13 00:00:00,2019-01-12 01:00:00,2019-01-13 01:00:00,19.6148
2019-01-13 00:00:00,2019-01-14 00:00:00,2019-01-13 01:00:00,2019-01-14 01:00:00,5.925434
2019-01-14 00:00:00,2019-01-15 00:00:00,2019-01-14 01:00:00,2019-01-15 01:00:00,16.78178
2019-01-15 00:00:00,2019-01-16 00:00:00,2019-01-15 01:00:00,2019-01-16 01:00:00,66.75148
2019-01-16 00:00:00,2019-01-17 00:00:00,2019-01-16 01:00:00,2019-01-17 01:00:00,67.67674
2019-01-17 00:00:00,2019-01-18 00:00:00,2019-01-17 01:00:00,2019-01-18 01:00:00,18.17575
2019-01-18 00:00:00,2019-01-19 00:00:00,2019-01-18 01:00:00,2019-01-19 01:00:00,51.862
